order_id,created_at,delivered_at,customer_name,gross_amount,payment_method,erp_status,return_policy_days
ORD_4001,2026-09-06T23:52:00,,Distributor_2,1500.00,AMEX,SUCCESS,0
ORD_4002,2026-09-06T23:52:00,,Distributor_3,1727.75,UPI,SUCCESS,0
ORD_4003,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_4,1955.50,NETBANKING,SUCCESS,0
ORD_4004,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_5,2183.25,UPI,SUCCESS,0
ORD_4005,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_6,2411.00,NETBANKING,SUCCESS,0
ORD_4006,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_7,2638.75,UPI,SUCCESS,0
ORD_4007,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_8,2866.50,NETBANKING,SUCCESS,0
ORD_4008,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_9,2518.50,UPI,SUCCESS,14
ORD_4009,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_10,2746.25,NETBANKING,SUCCESS,14
ORD_4010,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_11,2974.00,AMEX,SUCCESS,0
ORD_4011,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_12,3201.75,NETBANKING,SUCCESS,0
ORD_4012,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_13,3429.50,UPI,SUCCESS,0
ORD_4013,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_14,3657.25,NETBANKING,SUCCESS,0
ORD_4014,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_15,3885.00,UPI,SUCCESS,0
ORD_4015,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_16,3537.00,NETBANKING,SUCCESS,0
ORD_4016,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_17,3764.75,UPI,SUCCESS,0
ORD_4017,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_18,3992.50,NETBANKING,SUCCESS,0
ORD_4018,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_19,4220.25,UPI,SUCCESS,0
ORD_4019,2026-09-04T10:00:00,,Distributor_20,4448.00,AMEX,PENDING_VERIFICATION,0
ORD_4020,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_21,4675.75,UPI,SUCCESS,0
ORD_4021,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_22,4903.50,NETBANKING,SUCCESS,0
ORD_4022,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_23,4555.50,UPI,SUCCESS,0
ORD_4023,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_24,4783.25,NETBANKING,SUCCESS,0
ORD_4024,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_25,5011.00,UPI,SUCCESS,0
ORD_4025,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_26,5238.75,NETBANKING,SUCCESS,0
ORD_4026,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_27,5466.50,UPI,SUCCESS,0
ORD_4027,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_28,5694.25,NETBANKING,SUCCESS,0
ORD_4028,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_29,5922.00,AMEX,SUCCESS,0
ORD_4029,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_30,5574.00,NETBANKING,SUCCESS,0
ORD_4030,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_31,5801.75,UPI,SUCCESS,0
ORD_4031,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_32,6029.50,NETBANKING,SUCCESS,0
ORD_4032,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_33,6257.25,UPI,SUCCESS,0
ORD_4033,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_34,6485.00,NETBANKING,SUCCESS,0
ORD_4034,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_35,6712.75,UPI,SUCCESS,0
ORD_4035,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_36,6940.50,NETBANKING,SUCCESS,0
ORD_4036,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_37,6592.50,UPI,SUCCESS,0
ORD_4037,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_38,6820.25,AMEX,SUCCESS,0
ORD_4038,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_39,7048.00,UPI,SUCCESS,0
ORD_4039,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_40,7275.75,NETBANKING,SUCCESS,0
