order_id,created_at,delivered_at,customer_name,gross_amount,payment_method,erp_status,return_policy_days
ORD_1001,2026-09-02T23:51:00,,Distributor_1,1620.00,UPI,SUCCESS,0
ORD_1002,2026-09-02T23:52:00,,Distributor_2,1740.00,NETBANKING,SUCCESS,0
ORD_1003,2026-09-02T23:53:00,,Distributor_3,1860.00,UPI,SUCCESS,0
ORD_1004,2026-08-21T06:00:00,2026-08-22T06:00:00,Distributor_4,1980.00,NETBANKING,SUCCESS,0
ORD_1005,2026-08-21T11:00:00,2026-08-22T11:00:00,Distributor_5,2100.00,UPI,SUCCESS,0
ORD_1006,2026-08-21T16:00:00,2026-08-22T16:00:00,Distributor_6,2220.00,NETBANKING,SUCCESS,0
ORD_1007,2026-08-21T21:00:00,2026-08-22T21:00:00,Distributor_7,2340.00,UPI,SUCCESS,0
ORD_1008,2026-08-22T02:00:00,2026-08-23T02:00:00,Distributor_8,2460.00,NETBANKING,SUCCESS,0
ORD_1009,2026-08-22T07:00:00,2026-08-23T07:00:00,Distributor_9,2580.00,UPI,SUCCESS,0
ORD_1010,2026-08-22T12:00:00,2026-08-23T12:00:00,Distributor_10,2700.00,NETBANKING,SUCCESS,14
ORD_1011,2026-08-22T17:00:00,2026-08-23T17:00:00,Distributor_11,2820.00,UPI,SUCCESS,14
ORD_1012,2026-08-22T22:00:00,2026-08-23T22:00:00,Distributor_12,2940.00,NETBANKING,SUCCESS,14
ORD_1013,2026-08-23T03:00:00,2026-08-24T03:00:00,Distributor_13,3060.00,UPI,SUCCESS,0
ORD_1014,2026-08-23T08:00:00,2026-08-24T08:00:00,Distributor_14,3180.00,NETBANKING,SUCCESS,0
ORD_1015,2026-08-23T13:00:00,2026-08-24T13:00:00,Distributor_15,3300.00,UPI,SUCCESS,14
ORD_1016,2026-08-23T18:00:00,2026-08-24T18:00:00,Distributor_16,3420.00,NETBANKING,SUCCESS,14
ORD_1017,2026-08-23T23:00:00,2026-08-24T23:00:00,Distributor_17,3540.00,UPI,SUCCESS,0
ORD_1018,2026-08-24T04:00:00,2026-08-25T04:00:00,Distributor_18,3660.00,NETBANKING,SUCCESS,0
ORD_1019,2026-08-24T09:00:00,2026-08-25T09:00:00,Distributor_19,3780.00,UPI,SUCCESS,0
ORD_1020,2026-08-24T14:00:00,,Distributor_20,3900.00,NETBANKING,PENDING_VERIFICATION,0
ORD_1021,2026-08-24T19:00:00,,Distributor_21,4020.00,UPI,PENDING_VERIFICATION,0
ORD_1022,2026-08-25T00:00:00,2026-08-26T00:00:00,Distributor_22,4140.00,NETBANKING,SUCCESS,0
ORD_1023,2026-08-25T05:00:00,2026-08-26T05:00:00,Distributor_23,4260.00,UPI,SUCCESS,0
ORD_1024,2026-08-25T10:00:00,2026-08-26T10:00:00,Distributor_24,4380.00,NETBANKING,SUCCESS,0
ORD_1025,2026-08-25T15:00:00,2026-08-26T15:00:00,Distributor_25,4500.00,UPI,SUCCESS,0
ORD_1026,2026-08-25T20:00:00,2026-08-26T20:00:00,Distributor_26,4620.00,NETBANKING,SUCCESS,0
ORD_1027,2026-08-26T01:00:00,2026-08-27T01:00:00,Distributor_27,4740.00,UPI,SUCCESS,0
ORD_1028,2026-08-26T06:00:00,2026-08-27T06:00:00,Distributor_28,4860.00,AMEX,SUCCESS,0
ORD_1029,2026-08-26T11:00:00,2026-08-27T11:00:00,Distributor_29,4980.00,AMEX,SUCCESS,0
