order_id,created_at,delivered_at,customer_name,gross_amount,payment_method,erp_status,return_policy_days
ORD_2001,2026-09-04T23:52:00,,Distributor_2,1500.00,AMEX,SUCCESS,0
ORD_2002,2026-09-04T23:52:00,,Distributor_3,1727.75,UPI,SUCCESS,0
ORD_2003,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_4,1955.50,NETBANKING,SUCCESS,0
ORD_2004,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_5,2183.25,UPI,SUCCESS,0
ORD_2005,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_6,2411.00,NETBANKING,SUCCESS,0
ORD_2006,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_7,2638.75,UPI,SUCCESS,0
ORD_2007,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_8,2866.50,NETBANKING,SUCCESS,0
ORD_2008,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_9,2518.50,UPI,SUCCESS,14
ORD_2009,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_10,2746.25,NETBANKING,SUCCESS,14
ORD_2010,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_11,2974.00,AMEX,SUCCESS,0
ORD_2011,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_12,3201.75,NETBANKING,SUCCESS,0
ORD_2012,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_13,3429.50,UPI,SUCCESS,0
ORD_2013,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_14,3657.25,NETBANKING,SUCCESS,0
ORD_2014,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_15,3885.00,UPI,SUCCESS,0
ORD_2015,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_16,3537.00,NETBANKING,SUCCESS,0
ORD_2016,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_17,3764.75,UPI,SUCCESS,0
ORD_2017,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_18,3992.50,NETBANKING,SUCCESS,0
ORD_2018,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_19,4220.25,UPI,SUCCESS,0
ORD_2019,2026-09-04T10:00:00,,Distributor_20,4448.00,AMEX,PENDING_VERIFICATION,0
ORD_2020,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_21,4675.75,UPI,SUCCESS,0
ORD_2021,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_22,4903.50,NETBANKING,SUCCESS,0
ORD_2022,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_23,4555.50,UPI,SUCCESS,0
ORD_2023,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_24,4783.25,NETBANKING,SUCCESS,0
ORD_2024,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_25,5011.00,UPI,SUCCESS,0
ORD_2025,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_26,5238.75,NETBANKING,SUCCESS,0
ORD_2026,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_27,5466.50,UPI,SUCCESS,0
ORD_2027,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_28,5694.25,NETBANKING,SUCCESS,0
ORD_2028,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_29,5922.00,AMEX,SUCCESS,0
ORD_2029,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_30,5574.00,NETBANKING,SUCCESS,0
ORD_2030,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_31,5801.75,UPI,SUCCESS,0
ORD_2031,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_32,6029.50,NETBANKING,SUCCESS,0
ORD_2032,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_33,6257.25,UPI,SUCCESS,0
ORD_2033,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_34,6485.00,NETBANKING,SUCCESS,0
ORD_2034,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_35,6712.75,UPI,SUCCESS,0
ORD_2035,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_36,6940.50,NETBANKING,SUCCESS,0
ORD_2036,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_37,6592.50,UPI,SUCCESS,0
ORD_2037,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_38,6820.25,AMEX,SUCCESS,0
ORD_2038,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_39,7048.00,UPI,SUCCESS,0
ORD_2039,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_40,7275.75,NETBANKING,SUCCESS,0
ORD_2040,2026-09-05T10:00:00,2026-09-06T10:00:00,Distributor_41,7503.50,UPI,SUCCESS,0
ORD_2041,2026-09-01T10:00:00,2026-09-02T10:00:00,Distributor_42,7731.25,NETBANKING,SUCCESS,0
ORD_2042,2026-09-02T10:00:00,2026-09-03T10:00:00,Distributor_43,7959.00,UPI,SUCCESS,0
ORD_2043,2026-09-03T10:00:00,2026-09-04T10:00:00,Distributor_44,7611.00,NETBANKING,SUCCESS,0
ORD_2044,2026-09-04T10:00:00,2026-09-05T10:00:00,Distributor_45,7838.75,UPI,SUCCESS,0
