payment_id,order_id,settled_at,gateway_status,captured_amount,fee,tax,refund_amount,is_settlement_eligible,net_settlement
pay_8003,ORD_4003,2026-09-06T06:00:00,CAPTURED,1955.50,39.11,7.04,0.00,True,1909.35
pay_8004,ORD_4004,2026-09-06T06:00:00,CAPTURED,2183.25,43.67,7.86,0.00,True,2131.72
pay_8005,ORD_4005,2026-09-06T06:00:00,CAPTURED,2411.00,48.22,8.68,0.00,True,2354.10
pay_8006,ORD_4006,2026-09-06T06:00:00,CAPTURED,2638.75,52.78,9.50,0.00,True,2576.47
pay_8007,ORD_4007,2026-09-06T06:00:00,CAPTURED,2866.50,57.33,10.32,0.00,True,2798.85
pay_8008,ORD_4008,2026-09-06T06:00:00,CAPTURED,2518.50,50.37,9.07,0.00,False,0.00
pay_8009,ORD_4009,2026-09-06T06:00:00,CAPTURED,2746.25,54.93,9.89,0.00,False,0.00
pay_8010,ORD_4010,2026-09-06T06:00:00,CAPTURED,2974.00,89.22,16.06,0.00,True,2868.72
pay_8011,ORD_4011,2026-09-06T06:00:00,CAPTURED,3201.75,64.04,11.53,0.00,True,3126.18
pay_8012,ORD_4012,2026-09-06T06:00:00,CAPTURED,3429.50,68.59,12.35,0.00,True,3348.56
pay_8013,ORD_4013,2026-09-06T06:00:00,FAILED_BANK_DEBIT,0.00,0.00,0.00,0.00,False,0.00
pay_8014,ORD_4014,2026-09-06T06:00:00,CAPTURED,3885.00,77.70,13.99,0.00,True,3793.31
pay_8015,ORD_4015,2026-09-06T06:00:00,CAPTURED,3537.00,70.74,12.73,450.00,True,3003.53
pay_8016,ORD_4016,2026-09-06T06:00:00,CAPTURED,3764.75,75.30,13.55,450.00,True,3225.90
pay_8017,ORD_4017,2026-09-06T06:00:00,CAPTURED,3992.50,79.85,14.37,0.00,True,3898.28
pay_8018,ORD_4018,2026-09-06T06:00:00,CAPTURED,4220.25,84.41,15.19,0.00,True,4120.65
pay_8019,ORD_4019,2026-09-06T06:00:00,CAPTURED,4448.00,133.44,24.02,0.00,True,4290.54
pay_8020,ORD_4020,2026-09-06T06:00:00,CAPTURED,4675.75,93.52,16.83,0.00,True,4565.40
pay_8021,ORD_4021,2026-09-06T06:00:00,CAPTURED,4903.50,98.07,17.65,0.00,True,4787.78
pay_8022,ORD_4022,2026-09-06T06:00:00,CAPTURED,4555.50,91.11,16.40,0.00,True,4447.99
pay_8023,ORD_4023,2026-09-06T06:00:00,CAPTURED,4783.25,95.67,17.22,0.00,True,4520.36
pay_8024,ORD_4024,2026-09-06T06:00:00,CAPTURED,5011.00,100.22,18.04,0.00,True,4892.74
pay_8025,ORD_4025,2026-09-06T06:00:00,CAPTURED,5238.75,104.78,18.86,0.00,True,5115.11
pay_8026,ORD_4026,2026-09-06T06:00:00,DISPUTED,5466.50,109.33,19.68,0.00,False,0.00
pay_8027,ORD_4027,2026-09-06T06:00:00,CAPTURED,5694.25,113.89,20.50,0.00,True,5559.86
pay_8028,ORD_4028,2026-09-06T06:00:00,CAPTURED,5922.00,177.66,31.98,0.00,True,5712.36
pay_8029,ORD_4029,2026-09-06T06:00:00,CAPTURED,5574.00,111.48,20.07,0.00,True,5442.45
pay_8030,ORD_4030,2026-09-06T06:00:00,CAPTURED,5801.75,116.04,20.89,0.00,True,5664.82
pay_8031,ORD_4031,2026-09-06T06:00:00,CAPTURED,6029.50,120.59,21.71,0.00,True,5887.20
pay_8032,ORD_4032,2026-09-06T06:00:00,CAPTURED,6257.25,125.15,22.53,0.00,True,6109.57
pay_8033,ORD_4033,2026-09-06T06:00:00,CAPTURED,6485.00,129.70,23.35,0.00,True,6331.95
pay_8034,ORD_4034,2026-09-06T06:00:00,CAPTURED,6712.75,134.26,24.17,0.00,True,6554.32
pay_8035,ORD_4035,2026-09-06T06:00:00,CAPTURED,6940.50,138.81,24.99,0.00,True,6776.70
pay_8036,ORD_4036,2026-09-06T06:00:00,CAPTURED,6592.50,131.85,23.73,0.00,True,6436.92
pay_8037,ORD_4037,2026-09-06T06:00:00,CAPTURED,6820.25,204.61,36.83,0.00,True,6578.81
pay_8038,ORD_4038,2026-09-06T06:00:00,CAPTURED,7048.00,140.96,25.37,0.00,True,6881.67
pay_8039,ORD_4039,2026-09-06T06:00:00,CAPTURED,7275.75,145.52,26.19,0.00,True,7104.04
pay_8040,ORD_4040,2026-09-06T06:00:00,CAPTURED,7503.50,150.07,27.01,0.00,True,7326.42
