payment_id,order_id,settled_at,gateway_status,captured_amount,fee,tax,refund_amount,is_settlement_eligible,net_settlement
pay_5004,ORD_1004,2026-09-03T06:00:00,CAPTURED,1980.00,39.60,7.13,0.00,True,1933.27
pay_5005,ORD_1005,2026-09-03T06:00:00,CAPTURED,2100.00,42.00,7.56,0.00,True,2050.44
pay_5006,ORD_1006,2026-09-03T06:00:00,CAPTURED,2220.00,44.40,7.99,0.00,True,2167.61
pay_5007,ORD_1007,2026-09-03T06:00:00,CAPTURED,2340.00,46.80,8.42,0.00,True,2284.78
pay_5008,ORD_1008,2026-09-03T06:00:00,CAPTURED,2460.00,49.20,8.86,0.00,True,2401.94
pay_5009,ORD_1009,2026-09-03T06:00:00,CAPTURED,2580.00,51.60,9.29,0.00,True,2519.11
pay_5010,ORD_1010,2026-09-03T06:00:00,CAPTURED,2700.00,54.00,9.72,0.00,False,0.00
pay_5011,ORD_1011,2026-09-03T06:00:00,CAPTURED,2820.00,56.40,10.15,0.00,False,0.00
pay_5012,ORD_1012,2026-09-03T06:00:00,CAPTURED,2940.00,58.80,10.58,0.00,False,0.00
pay_5013,ORD_1013,2026-09-03T06:00:00,CAPTURED,3060.00,61.20,11.02,0.00,True,2987.78
pay_5014,ORD_1014,2026-09-03T06:00:00,CAPTURED,3180.00,63.60,11.45,0.00,True,3104.95
pay_5015,ORD_1015,2026-09-03T06:00:00,CAPTURED,3300.00,66.00,11.88,400.00,True,2822.12
pay_5016,ORD_1016,2026-09-03T06:00:00,CAPTURED,3420.00,68.40,12.31,400.00,True,2939.29
pay_5017,ORD_1017,2026-09-03T06:00:00,CAPTURED,3540.00,70.80,12.74,0.00,True,3456.46
pay_5018,ORD_1018,2026-09-03T06:00:00,CAPTURED,3660.00,73.20,13.18,0.00,True,3573.62
pay_5019,ORD_1019,2026-09-03T06:00:00,CAPTURED,3780.00,75.60,13.61,0.00,True,3690.79
pay_5020,ORD_1020,2026-09-03T06:00:00,CAPTURED,3900.00,78.00,14.04,0.00,True,3807.96
pay_5021,ORD_1021,2026-09-03T06:00:00,CAPTURED,4020.00,80.40,14.47,0.00,True,3925.13
pay_5022,ORD_1022,2026-09-03T06:00:00,CAPTURED,4140.00,82.80,14.90,0.00,True,4042.30
pay_5023,ORD_1023,2026-09-03T06:00:00,CAPTURED,4260.00,85.20,15.34,0.00,True,4159.46
pay_5024,ORD_1024,2026-09-03T06:00:00,CAPTURED,4380.00,87.60,15.77,0.00,True,4276.63
pay_5025,ORD_1025,2026-09-03T06:00:00,CAPTURED,4500.00,90.00,16.20,0.00,True,4393.80
pay_5026,ORD_1026,2026-09-03T06:00:00,CAPTURED,4620.00,92.40,16.63,0.00,True,4510.97
pay_5027,ORD_1027,2026-09-03T06:00:00,CAPTURED,4740.00,94.80,17.06,0.00,True,4628.14
pay_5028,ORD_1028,2026-09-03T06:00:00,CAPTURED,4860.00,145.80,26.24,0.00,True,4687.96
pay_5029,ORD_1029,2026-09-03T06:00:00,CAPTURED,4980.00,149.40,26.89,0.00,True,4803.71
pay_5030,ORD_1030,2026-09-03T06:00:00,CAPTURED,5100.00,102.00,18.36,0.00,True,4979.64
pay_5031,ORD_1031,2026-09-03T06:00:00,CAPTURED,5220.00,104.40,18.79,0.00,True,5096.81
pay_5032,ORD_1032,2026-09-03T06:00:00,CAPTURED,5340.00,106.80,19.22,0.00,True,5213.98
pay_5033,ORD_1033,2026-09-03T06:00:00,CAPTURED,5460.00,109.20,19.66,0.00,True,5331.14
pay_5034,ORD_1034,2026-09-03T06:00:00,CAPTURED,5580.00,111.60,20.09,0.00,True,5448.31
pay_5035,ORD_1035,2026-09-03T06:00:00,FAILED_BANK_DEBIT,0.00,0.00,0.00,0.00,False,0.00
pay_5036,ORD_1036,2026-09-03T06:00:00,CAPTURED,5820.00,116.40,20.95,0.00,True,5682.65
pay_5037,ORD_1037,2026-09-03T06:00:00,CAPTURED,5940.00,118.80,21.38,0.00,True,5799.82
pay_5038,ORD_1038,2026-09-03T06:00:00,CAPTURED,6060.00,121.20,21.82,0.00,True,5916.98
pay_5039,ORD_1039,2026-09-03T06:00:00,CAPTURED,6180.00,123.60,22.25,0.00,True,6034.15
pay_5040,ORD_1040,2026-09-03T06:00:00,CAPTURED,6300.00,126.00,22.68,0.00,True,6151.32
pay_5041,ORD_1041,2026-09-03T06:00:00,CAPTURED,6420.00,128.40,23.11,0.00,True,6268.49
pay_5042,ORD_1042,2026-09-03T06:00:00,CAPTURED,6540.00,130.80,23.54,0.00,True,6385.66
pay_5043,ORD_1043,2026-09-03T06:00:00,CAPTURED,6660.00,133.20,23.98,0.00,True,6502.82
pay_5044,ORD_1044,2026-09-03T06:00:00,CAPTURED,6780.00,135.60,24.41,0.00,True,6619.99
pay_5045,ORD_1045,2026-09-03T06:00:00,CAPTURED,6900.00,138.00,24.84,0.00,True,6737.16
pay_5046,ORD_1046,2026-09-03T06:00:00,CAPTURED,7020.00,140.40,25.27,0.00,True,6854.33
pay_5047,ORD_1047,2026-09-03T06:00:00,CAPTURED,7140.00,142.80,25.70,0.00,True,6971.50
pay_5048,ORD_1048,2026-09-03T06:00:00,CAPTURED,7260.00,145.20,26.14,0.00,True,7088.66
pay_5049,ORD_1049,2026-09-03T06:00:00,CAPTURED,7380.00,147.60,26.57,0.00,True,7205.83
pay_5050,ORD_1050,2026-09-03T06:00:00,CAPTURED,7500.00,150.00,27.00,0.00,True,7323.00
pay_5051,ORD_1051,2026-09-03T06:00:00,CAPTURED,7620.00,152.40,27.43,0.00,True,7440.17
pay_5052,ORD_1052,2026-09-03T06:00:00,CAPTURED,7740.00,154.80,27.86,0.00,True,7557.34
pay_5053,ORD_1053,2026-09-03T06:00:00,CAPTURED,7860.00,157.20,28.30,0.00,True,7674.50
pay_5054,ORD_1054,2026-09-03T06:00:00,CAPTURED,7980.00,159.60,28.73,0.00,True,7791.67
pay_5055,ORD_1055,2026-09-03T06:00:00,DISPUTED,8100.00,162.00,29.16,0.00,False,0.00
pay_5056,ORD_1056,2026-09-03T06:00:00,CAPTURED,8220.00,164.40,29.59,0.00,True,8026.01
pay_5057,ORD_1057,2026-09-03T06:00:00,CAPTURED,8340.00,166.80,30.02,0.00,True,8143.18
pay_5058,ORD_1058,2026-09-03T06:00:00,CAPTURED,8460.00,169.20,30.46,0.00,True,8260.34
pay_5059,ORD_1059,2026-09-03T06:00:00,CAPTURED,8580.00,171.60,30.89,0.00,True,8377.51
pay_5060,ORD_1060,2026-09-03T06:00:00,CAPTURED,8700.00,174.00,31.32,0.00,True,8494.68
